cijena,kvadratura,broj_soba,sprat,namjesten,vrsta_grijanja,kvadratura_balkona,blindirana_vrata,internet,kablovska_tv,klima,lift,novogradnja,tel_prikljucak,uknjizeno_zk,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,nedavno_adaptiran,udaljenost_od_centra
295000.0,70.0,4.0,16.0,0.0,5.0,16.0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,3813.9
489762.0,116.0,4.0,17.0,0.0,2.0,6.0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,6415.6
227700.0,69.0,3.0,1.0,0.0,5.0,9.0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,9655.4
610000.0,134.0,3.0,12.0,0.0,2.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9140.5
397000.0,85.0,3.0,1.0,0.0,2.0,8.0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,4315.0
248000.0,64.0,2.0,15.0,0.0,6.0,0.0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,2517.0
169000.0,45.0,2.0,14.0,0.0,2.0,0.0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,12385.6
675000.0,64.0,4.0,1.0,0.0,0.0,3.0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,16396.4
115000.0,34.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,9733.5
313000.0,60.0,3.0,1.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1995.7
172000.0,52.0,2.0,16.0,0.0,1.0,0.0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,11394.5
155000.0,35.5,1.0,1.0,0.0,2.0,0.0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,9707.6
235000.0,70.0,3.0,15.0,0.0,1.0,14.0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,3751.6
225000.0,57.0,2.0,1.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3499.3
351990.0,90.0,4.0,12.0,0.0,1.0,6.0,1,1,1,0,0,0,1,1,1,0,1,1,0,1,5927.1
348000.0,68.0,3.0,15.0,0.0,2.0,3.0,1,1,1,1,1,0,1,1,0,0,0,0,0,1,5582.0
165000.0,59.0,2.0,5.0,0.0,2.0,0.0,1,1,1,0,1,0,1,1,0,1,0,0,0,0,7316.8
215000.0,51.0,2.0,1.0,0.0,5.0,0.0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,4129.3
125000.0,29.0,1.0,17.0,0.0,2.0,0.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,5469.3
285000.0,65.0,3.0,12.0,0.0,1.0,8.0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,4923.8
265000.0,60.0,3.0,23.0,0.0,1.0,1.5,1,1,1,1,0,0,1,1,1,1,0,1,0,0,2802.9
385000.0,97.0,3.0,12.0,0.0,1.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1973.8
225000.0,48.0,2.0,1.0,0.0,6.0,0.0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,4392.9
170000.0,56.0,2.0,23.0,0.0,6.0,0.0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,10211.8
252000.0,70.0,3.0,1.0,0.0,2.0,0.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,8085.7
115000.0,29.0,0.0,2.0,0.0,2.0,0.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,7316.8
170000.0,40.0,2.0,21.0,0.0,1.0,10.0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,3703.1
245000.0,43.0,2.0,12.0,0.0,2.0,0.0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,2647.4
249000.0,53.0,3.0,15.0,0.0,6.0,0.0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,3850.8
175000.0,32.0,2.0,1.0,0.0,6.0,0.0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,918.3
249000.0,72.0,4.0,20.0,0.0,2.0,0.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,3474.2
325000.0,103.0,5.0,16.0,0.0,5.0,20.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,10357.1
205000.0,72.0,3.0,19.0,0.0,2.0,4.0,1,1,1,0,1,0,1,1,0,1,0,1,0,0,8011.4
240000.0,49.0,2.0,1.0,0.0,5.0,0.0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,3177.8
310000.0,73.1,3.0,18.0,0.0,2.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3474.2
235000.0,69.0,2.0,15.0,0.0,1.0,16.0,1,1,1,1,0,0,1,1,1,0,1,0,0,1,5461.8
450000.0,75.0,3.0,18.0,0.0,0.0,2.0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,7284.3
630000.0,203.0,5.0,18.0,0.0,5.0,0.0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,10563.1
150000.0,54.0,2.0,16.0,0.0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11394.5
216000.0,72.0,3.0,12.0,0.0,2.0,0.0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,8447.2
470000.0,103.0,5.0,1.0,0.0,5.0,0.0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,10755.0
295000.0,60.0,3.0,16.0,0.0,2.0,0.0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,7284.3
285000.0,92.0,4.0,12.0,0.0,5.0,5.0,1,1,1,0,0,0,0,1,1,1,0,1,0,1,11407.0
209000.0,46.0,2.0,14.0,0.0,4.0,10.0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,12359.4
670000.0,51.0,2.0,23.0,0.0,6.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1491.2
399000.0,101.0,3.0,16.0,0.0,2.0,0.0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,12359.4
219000.0,70.0,3.0,1.0,0.0,2.0,5.0,1,0,1,0,0,0,1,1,0,1,0,0,0,1,8348.3
270000.0,77.0,3.0,1.0,0.0,5.0,5.0,1,1,1,1,1,0,1,1,1,0,0,0,0,1,7510.7
189000.0,55.0,2.0,19.0,0.0,2.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9584.8
290000.0,72.0,3.0,3.0,0.0,2.0,0.0,1,1,1,1,1,0,1,1,0,1,0,1,0,1,3474.2
200000.0,46.0,2.0,12.0,0.0,1.0,0.0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,9407.5
890000.0,109.0,4.0,1.0,0.0,1.0,0.0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,1540.6
420000.0,100.0,4.0,14.0,0.0,2.0,5.0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,3850.8
255000.0,52.0,2.0,12.0,0.0,6.0,0.0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,2919.6
217000.0,47.0,2.0,9.0,0.0,2.0,0.0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,4830.0
250000.0,61.0,3.0,1.0,0.0,6.0,0.0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,29241.2
481400.0,83.0,3.0,16.0,0.0,4.0,0.0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,12543.1
243600.0,42.0,2.0,17.0,0.0,4.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,14819.7
285200.0,62.0,3.0,15.0,0.0,4.0,0.0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,11531.0
259000.0,51.0,3.0,1.0,0.0,0.0,4.0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,6415.6
235000.0,52.0,2.0,14.0,0.0,1.0,0.0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,5461.8
239500.0,51.0,3.0,14.0,0.0,2.0,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,7284.3
259000.0,63.0,3.0,17.0,0.0,6.0,0.0,1,1,1,0,1,0,1,1,1,0,0,1,0,0,3474.2
132000.0,41.0,2.0,6.0,0.0,2.0,0.0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,7525.5
144998.0,41.0,1.5,21.0,0.0,2.0,0.0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,5856.3
330000.0,66.0,3.0,15.0,0.0,1.0,0.0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,862.0
249500.0,78.0,4.0,17.0,0.0,1.0,0.0,1,1,1,0,1,1,1,1,1,0,0,0,0,1,9733.5
119500.0,27.0,0.0,14.0,0.0,2.0,0.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,9132.0
369000.0,100.0,4.0,1.0,0.0,0.0,2.0,1,1,1,0,0,0,1,1,0,0,1,1,0,1,3103.5
180000.0,59.0,3.0,1.0,0.0,1.0,0.0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,10594.8
322000.0,78.0,3.0,17.0,0.0,2.0,0.0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,8348.3
227500.0,67.0,3.0,16.0,0.0,2.0,0.0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,4830.0
440000.0,105.0,4.0,21.0,0.0,2.0,58.0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,3791.1
280000.0,96.0,5.0,16.0,0.0,1.0,0.0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,4392.9
325000.0,103.0,4.0,16.0,0.0,5.0,0.0,1,1,1,1,1,1,1,1,0,1,0,1,0,0,10357.1
250000.0,86.0,3.0,1.0,0.0,6.0,0.0,1,1,1,1,0,0,1,1,0,1,0,1,0,1,309.4
370000.0,90.0,3.0,1.0,0.0,6.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11342.8
230000.0,70.0,2.0,15.0,0.0,1.0,14.0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,3751.6
219000.0,40.0,2.0,15.0,0.0,1.0,0.0,1,1,1,0,0,0,1,1,1,0,0,1,0,0,2474.1
