,cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,blindirana_vrata,internet,kablovska_tv,klima,lift,novogradnja,tel_prikljucak,uknjizeno_zk,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,nedavno_adaptiran,object_latitude,object_longitude,udaljenost_od_centra
0,295000.0,70.0,4.0,5,Namješten,Renoviran,Plin,Grbavicka 84,16.0,1960-1969,Laminat,False,True,True,True,False,False,False,True,True,True,False,False,False,True,43.849374,18.3975295,3813.9
1,489762.0,116.0,4.0,6,Namješten,Novogradnja,Centralno (gradsko),Generala Mehmeda Alagića,6.0,2020,Parket,True,True,True,True,True,True,True,True,False,True,False,True,False,False,43.849477,18.363339,6415.6
2,225000.0,78.0,3.0,2,Namješten,Dobro stanje,Centralno (gradsko),,0.0,1970-1979,Parket,True,True,True,False,False,False,True,True,True,False,False,False,False,False,0.0,0.0,0.0
3,227700.0,69.0,3.0,1,Namješten,Novogradnja,Plin,Vitomira Lukića 6,9.0,2010,Parket,True,True,True,False,True,False,True,True,True,False,False,False,False,False,43.8439515,18.3240017,9655.4
4,610000.0,134.0,3.0,2,Namješten,Renoviran,Centralno (gradsko),Želimira Vidovića Kelija,0.0,2015,Parket,True,True,True,True,True,True,True,True,True,True,True,True,True,True,43.8316685,18.3516402,9140.5
5,148000.0,37.0,1.0,5,Namješten,Novogradnja,Centralno (Kotlovnica),,3.34,2020,,True,True,True,True,True,False,True,True,False,False,True,False,False,False,0.0,0.0,0.0
6,155000.0,42.0,2.0,3,Namješten,Dobro stanje,Centralno (Kotlovnica),,0.0,2010,Parket,True,True,True,True,True,True,True,True,False,False,True,True,True,False,0.0,0.0,0.0
7,449000.0,110.0,3.0,1,Namješten,Renoviran,Plin,,0.0,2000-2009,Ostalo,True,True,True,True,False,False,True,True,True,False,False,True,True,False,0.0,0.0,0.0
8,259000.0,66.0,3.0,4,Namješten,Renoviran,Centralno (Plin),,20.0,1970-1979,Parket,True,True,False,True,False,False,True,True,True,True,False,False,True,True,0.0,0.0,0.0
9,240000.0,69.0,3.0,16,Namješten,Renoviran,Centralno (gradsko),,0.0,,Parket,True,False,False,True,True,False,True,True,False,False,False,True,False,True,0.0,0.0,0.0
10,155000.0,55.0,2.0,5,Namješten,,Centralno (gradsko),,0.0,,,True,False,False,True,False,False,False,True,False,False,False,True,False,False,0.0,0.0,0.0
11,278000.0,63.0,2.0,15,Namješten,Renoviran,Centralno (gradsko),,0.0,1970-1979,,True,True,True,True,True,False,True,True,False,True,True,False,True,True,0.0,0.0,0.0
12,122000.0,30.0,0.0,Visoko prizemlje,Namješten,Renoviran,Struja,,0.0,,Parket,True,True,True,False,False,False,True,True,True,True,False,False,False,False,0.0,0.0,0.0
13,425000.0,84.0,4.0,Suteren,Namješten,Renoviran,Centralno (gradsko),,0.0,1980-1989,Parket,True,True,True,False,False,False,True,True,False,False,True,True,True,True,0.0,0.0,0.0
14,397000.0,85.0,3.0,1,Namješten,Renoviran,Centralno (gradsko),Zmaja od Bosne,8.0,,Parket,True,True,True,False,True,False,True,True,False,False,False,True,False,True,43.8527726,18.3855245,4315.0
