,title,kvadratura,broj_soba,sprat,namjesten,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon,nedavno_adaptiran,details
0,"
                                                    Bauland / jednosoban stan / BULEVAR, Stup
                                                ",37,Jednosoban (1),5,Namješten,Centralno (Kotlovnica),Prodaja,,3.34,2020+,,True,True,True,True,,True,True,,,,True,19.05.2023,Istok,True,,,,True,,,True,,"BAULAND prodaje:Jednosoban namješten stan površine 37m2 koji se nalazi na petom spratu stambeno-poslovnog kompleksa BULEVAR u naselju Stup, Općina Ilidža. Stambeno-poslovna zgrada je izgrađena 2020. godine i može se pohvaliti visokim standardom gradnje i kvalitetom života koji nudi stanarima. Zgrada se sastoji od prizemlja i devet spratova sa po dva lifta u svakom ulazu s tim da su na devetom spratu smješteni luksuzni penthouse apartmani. Takođe, zgrada je osigurana video nadzorom.Predmetna nekretnina se sastoji od ulaznog hodnika, kupatila, djelimično izdvojene kuhinje, dnevnog boravka sa trpezarijom i balkona.Vanjska stolarija je PVC sa ugrađenim troslojnim staklima tzv. low-e sa punjenim plinskim komorama koje služe za kvalitetnu zaštitu temperature u stanu u svim atmosferskim prilikama. Unutrašnja stolarija je drvena, izrađena od prirodnog hrasta. Na podu u dnevnom boravku je postavljen troslojni parket debljine 14 mm dok je u hodniku, kupatilu, kuhinji i na balkonu postavljena keramika.Ulazna vrata u stanu su protuprovalna i protupožarna sa sigurnosnom bravom. U stanu je instalirana inverter klima marke GREE.Stan se prodaje namješten, izuzev TV-a, mašine za veš i ličnih stvari vlasnika.Nekretnina je na mjesečnom nivou što se tiče režijskih troškova izuzetno povoljna jer ima odvojene mjerne jedinice za vodu, struju i grijanje a pored navedenog tu je i vrhunski termo izolacioni sistem.Prednosti nekretnine:Blizina dječijeg igralištaBlizina tramvajaBlizina uslužnih i ugostiteljskih objekataJavni parking u sklopu kompleksaLokacija:Stan se nalazi u ulici Džemala Bijedića, u novoizgrađenom kompleksu BULEVAR, naselje Stup, Općina Ilidža.Stambena zgrada se nalazi u blizini glavne saobraćajnice, a sama lokacija je atraktivna zbog blizine sadržaja koji doprinose kvaliteti življenja blizini se nalaze brojni ugostiteljski objekti, apoteka, mesnica, supermarketi, itd.Informacije:Sve zainteresovane kupce pozivamo da nas kontaktiraju i zakažu obilazak nekretnine. Obilazak se može izvršiti uz prethodnu najavu na broj telefona +387 62 080 550 (Viber/WhatsApp), te putem e-mail adrese info@bauland.ba.Uz našu stručnost i profesionalnost, možete biti sigurni da ćemo u Vašem interesu pokušati postići najbolju moguću cijenu ili uvjete. Želimo Vam pružiti najbolju moguću uslugu, stoga smo uvijek spremni odgovoriti na Vaša pitanja. Javite nam se već danas i saznajte više!"
1,"
                                                    Stan Sarajevo - Novo Sarajevo 70m2 Grbavica
                                                ",70,Četverosoban (4),5,Namješten,Plin,Prodaja,Grbavicka 84,16,1960-1969,Laminat,True,,True,True,True,True,,,,True,,19.04.2023,Jugoistok,True,,True,True,,,,True,True,"Prodajem kompletno renoviran, namjesten i opremljen stan na Grbavici. Nalazi se na V spratu u zgradi bez lifta. Izuzetno svijetao i osuncan, Juzno i Sjeverno orijentisan, povrsine 70mkv + 16 mkv terase. Sastoji se od hodnika, kupatila, 2 spavace sobe + sobe gardarobera, kuhinje, trpezarije i dnevnog boravka koji su povezani i otvoreni. Na prostranu terasu se izlazi iz dnevne sobe. Lokaciju karakterise blizina svih potrebnih sadrzaja za ugodan i kvalitetan zivot."
2,"
                                                    Stan - Novogradnja Veneto - Otoka - 116 m2
                                                ",116,Četverosoban (4),6,Namješten,Centralno (gradsko),Prodaja,Generala Mehmeda Alagića (ex.Srđana Aleksića),6,2020+,Parket,True,True,True,True,,True,True,True,True,,True,08.06.2023,Istok,True,,,True,,True,,True,,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448E-mail: mirza@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/cetverosoban-stan-otoka-veneto-novogradnja-113-m2/CITY Nekretnine ekskluzivno prodaje četverosoban stan sa garažnim mjestom u novogradnji “Veneto”, u općini Novi grad, naselje Otoka, ukupne površine 116,61 m2.Stan se nalazi na šestom spratu stambene zgrade - novogradnje “Veneto” u ulici Generala Mehmeda Alagića (bivša Srđana Aleksića), naselje Otoka, općina Novi grad. U neposrednoj blizini zgrade nalazi se dječije igralište, tramvajska i autobuska stanica, supermarket, Olimpijski bazen Otoka, caffe bar, restoran, pizzerija, džamija, kao i drugi mnogobrojni sadržaji koji su karakteristični za ovu lokaciju.Kvadratura stana iznosi ukupno 116,61 m2 (stan 113,45 i ostava 3,16 m2), po strukuri je četverosoban, dvostrane orjentacije istok - sjever.Stan posjeduje:- Dnevni boravak sa izlazom na balkon- Trpezariju sa izlazom na balkon- Balkon- Kuhinju- Glavnu spavaću sobu sa garderoberom (walk-in closet) i vlastitim kupatilom- Dodatne dvije spavaće sobe- Drugo kupatilo- Ostavu - vešeraj- Drugu ostavu- Hodnik- Centralno grijanje - gradsko - Toplane sa vlastitim kalorimetrom- Klima uređaj- Vanjsku i unutrašnju drvenu stolariju- Blindirana vrata, interfon, lift- Priključke telefona, kablovske televizije i interneta- Dodatnu ostavu u haustoru zgrade površine 3,16 m2- Garažno mjesto na etaži -2 površine 12,96 m2 (Nije uključeno u cijenu)- Parking - javni ispred zgradeCIJENA: 489.762 KM"
3,"
                                                    Stan Sarajevo - Novi Grad
                                                ",60,Trosoban (3),4,Namješten,Centralno (gradsko),Prodaja,trg djeca Dobrinje br 4,,,,True,True,,,,,,,,,,29.06.2023,,,,,True,,,,True,,"Prodaje se u potpunosti renoviran trosoban stan od 60 kvadrata na četvrtom spratu u zgradi bez lifta, na adresi Trg djeca Dobrinje 4 (u blizini Kupa).
Stan je dvostrano orjentisan, sa jednim balkonom. Drugi balkon prilikom renoviranja koje je obavljeno u junu 2022.godine, zatvoren i dijelom od balkona, a dijelom od trpezarije napravljena još jedna spavaća soba.
Stan se sastoji od dva hodnika, dnevnog boravka sa izlazom na balkon i pogledom na džamiju Dobrinja 3, kuhinjom, kupatilom i dvije spavaće sobe.
Stan posjeduje pripadajući podrum od cca 8 kvadrata

U cijenu stana ulazi ugradbena kuhinja sa svim elementima, 4 ugradbena ormara rađeni po mjeri, 1 bračni krevet rađen po mjeri, dva kreveta za jednu osobu rađeni po mjeri i komoda za tv.


Sve informacije na broj tel
061 807 054
."
4,"
                                                    Dvosoban stan Ilidža (Sarajevo waves)
                                                ",67,Dvosoban (2),2,Namješten,Centralno (gradsko),Prodaja,Barska 59-II,,2020+,,True,True,True,True,,True,True,,True,True,True,15.06.2023,,True,,,,True,,True,True,,"Na prodaju luksuzno opremljen dvosoban stan površine 67m2 u Sarajevo Waves2 zgradi. Stan se nalazi na drugom spratu. Zgrada je izgrađena po hotelskom principu tako da je sve uređeno od same okolice, parka sa fontanom za šetnju, drugog parka za djecu, garaže,ulaza, liftova, pa do samog stana. Na krovu zgrade se nalazi terasa na dva sprata na kojoj je zelena površina koju stanari mogu da koriste kao zajednički prostor. Ispod zgrade i preko puta se nalaze poslovni prostori kao sto su kafići, pekara, buregdzinica, Amko komerc, igraonica/vrtic za djecu i restoran ""Waves"" u Centru Sarajevo Waves te se uskoro otvara  i teretana sa bazenom i drugim sadržajima. Apoteka se nalazi odmah preko puta zgrade, u blizini je i Ambulanta Otes, mjesna zajednica kao i mnogi drugi supermarketi. Petrolova pumpa je udaljena autom minut od same zgrade. Džamija Otes je udaljena 2 minuta hoda. Policijska stanica ""Otes"" se nalazi u samom kompleksu zgrade. Kompleks kompletan obazbjeduje ""Unilab"" osiguranje, uz nadzorne kamere na svakom spratu, garažama te okolo cijelog kompleksa. Stan posjeduje prostran balkon cijelom dužinom stana. Dvosoban (spavaća soba, boravak i kuhinja, te kupatilo) i top je opremljen te se prodaje sa namještajem. Sve je rađeno po mjeri tako da je i vrlo funkcionalan. Za dodatne informacije zvati na broj : +387603086026 "
5,"
                                                    Prodajemo stan Baščaršija
                                                ",66,Trosoban (3),4,Namješten,Centralno (Plin),Prodaja,,20,1970-1979,Parket,True,True,True,,True,True,,,True,True,True,09.06.2023,,True,,True,True,,,True,True,True,"Prodajemo renoviran i poluopremljen CETVEROSOBAN stan u Starom Gradu. Stan posjeduje plinsko grijanje, klima uredaj, 4 sobe + kuhinja + wc + ogromnu terasu 

1. Garderober: novi ormari radeni po mjeri i maksimalno iskoristen prostor.

2. Spavaca: prostrana prostorija sa novim krevetom.

3. Dnevni boravak: izlaz na prelijepu terasu od 20m2, klima uredaj, internet prikljucak, kablovska televizija, najnoviji moderni damski lezaj, prelijep pogled na grad i Trebevic.

4. Terpezarija: prelijep kameni zid sa prozorima koji direktno gledaju na veliku terasu.

Kuhinja: posjeduje frizider, strujno koli, masinu za sude, rernu, i napu.
Lokacija;

https://maps.apple.com/maps?q=43.863437,18.430935"
6,"
                                                    MY SPACE/ Stan/ Breka/ NOVOGRADNJA/ NAMJESTEN/ 42m2
                                                ",43,Dvosoban (2),2,Namješten,Centralno (gradsko),Prodaja,Ahmeda Muratbegovića,,2020+,Parket,True,True,True,True,True,,,True,True,True,True,03.06.2023,,True,,,,,,,True,,"""MY SPACE"" Nekretnine prodaju dvosoban stan u Sarajevu, opština Centar, naselje Breka, u ulici Ahmeda Muratbegovića.Stan je površine 42 m2 i nalazi se na II spratu  stambene zgrade sa liftom. Po strukturi je dvosoban.Sastoji se iz hodnika, dnevnog boravka sa kuhinjom, i izlazom na veliki balkon, spavaće sobe i kupatila. Stan je u zgradi novije gradnje, gradnja iz 2019. godine.. Vanjska stolarija je PVC, dok je ununtrašnja drvena. Pod je parket i keramika. Ulazna vrata su blindirana. Grijanje je centralno gradsko po potrošnji. Stan se prodaje kompletno namješten.Za više informacija posjetite link: https://www.nekretnine-myspace.com/nekretnine/dvosoban-namjesten-stan-u-novogradnji-breka-43m2-13572/Cijena stana je 245.000 KMSve informacije možete dobiti na slijedeće brojeve telefona:+387 62 599 172+387 66 499 822www.nekretnine-myspace.com MY SPACE NekretnineRegistarski broj posrednika 02/2022Mis Irbina br. 2271000 Sarajevo"
7,"
                                                    MY SPACE/ Stan/ Grbavica/ RENOVIRAN/ NAMJESTEN/ 53m2
                                                ",53,Trosoban (3),4,Namješten,Struja,Prodaja,Hamdije Čemerlića,,,,True,True,True,True,True,,True,,True,True,True,20.06.2023,,True,,,,,,,True,,"""MY SPACE"" Nekretnine prodaju dvoiposoban stan u Sarajevu, općina Novo Sarajevo, naselje Grbavica, u ulici Hamdije ČemerlićaStan je površine 53m2 i nalazi se na IV spratu u stambenoj zgradi sa ukupno VII spratova. Zgrada ima lift. Po strukturi stan je dvoiposoban.Sastoji se iz hodnika, dnevnog boravka, spavaće sobe, dječije sobe, kuhinje, balkona i kupatila. Stan je kompletno renoviran pri čemu su zamijenjene elektro i vodovodne instalacije. Vanjska stolarija je PVC. Unutrašnja stolarija je drvena. Pod je laminat i keramika. Ulazna vrata su blindirana. Grijanje je na struju (konvektori). Stan se nalazi na atraktivnoj lokaciji, u blizini gradskog prevoza i svih neophodnih sadržaja (škola, vrtići, park, mrketi, Vilsonovo šetalište). Prodaje se kompletno namješten.Za više informacija posjetite link: https://www.nekretnine-myspace.com/nekretnine/dvoiposoban-renoviran-namjesten-stan-grbavica-53m2-13592/Cijena stana je 249.000 KMSve informacije možete dobiti na slijedeće brojeve telefona:+387 62 599 172+387 66 499 822www.nekretnine-myspace.com MY SPACE NekretnineRegistarski broj posrednika 02/2022Mis Irbina br. 2271000 Sarajevo"
8,"
                                                    STUP Trosoban namješten stan 70 m2
                                                ",69,Trosoban (3),1,Namješten,Plin,Prodaja,Vitomira Lukića 6,9,2010+,Parket,True,True,True,True,True,,True,,True,True,True,01.07.2023,Jugoistok,True,,True,,,,,True,,"Prodaje se namješten trosoban stan na Stupu, Benis zgrada (jedna od najbolje građenih zgrada na Stupu) U krugu od par minuta hoda su tramvajska i autobuska stanica, veliki broj trgovinskih i uslužnih objekata, a osnovna škola i vrtić su bukvalno ispred zgrade. Neke od osnovnih informacija su:- Prvi sprat - visoko prizemlje, 69m2 prema ZK- Hodnik, dnevni boravak+kuhinja, spavaća soba, dječija soba, kupatilo, balkon - Škola, vatrogasci i civilna zaštita pored zgrade- Blindirana visokokvalitetna ulazna vrata- Termo fasada 10 cm- Zidovi u hodniku prema stanovima su termički zaštićeni. Podovi u ulaznom dijelu hola i sanitarija su prekriveni kamenim podnim oblogama. Pod dnevnog boravaka sa trpezarijom i u sobama je visokokvalitetni hrastov parket I klase.- Kupatilo i toalet su opremljeni ugradbenim vodokotlićem i sanitarnom opremom I klase (Hansgrohe).- Kompletna zgrada je pokrivena video nadzorom - Veliki lift, povezan sa garažama - Sve pozicije vanjske stolarije su od šestokomornih PVC profila REHAU, LOW-e stakla - Plinsko etažno grijanje - Vlastiti vodomjer i mjerila za potrošnju električne energije i zemnog gasa.- Sve stvari u stanu su stare cca godinu danaPotrošnja energije po m2 objekat svrstava u niskoenergetske objekte energetskog razreda “A“ što Vam uveliko omogućava dugoročne uštede kroz troškove grijanja i hlađenja. Troškovi grijanja su minimalni. Vlasništvo uredno 1/1. Uz stan postoji mogućnost kupovine ili najma garaže na -2 etaži. Sve informacije dostupne putem poruka "
9,"
                                                    Trosoban stan Alipašino Polje Novi Grad Sarajevo
                                                ",69,Trosoban (3),16,Namješten,Centralno (gradsko),Prodaja,,,,Parket,True,True,,,True,True,True,,True,True,True,19.06.2023,Istok,True,False,,,,True,,True,True,"Professionals Real Estate prodaje trosoban kompletno namješten i renoviran stan na Alipašinom Polju, A faza, ulica Ive Andrića, općina Novi Grad. 
Stan je pozicioniran na šesnestom (16) nebodera sa dva llifta. Stan nije na posljednjoj etaži. Sastoji se od ulaznog hodnika, dnevnog boravka, dvije spavaće sobe, kuhinjsko trpezarijskog prostora, kupatila, wc-a, ostave i balkona, ukupne uknjižene površine 69 m2. 
Grijanje je centralno, gradsko. 
Stan je kompletno renoviran prije godinu dana. Posjeduje odličnu dispoziciju prostorija, dvostranu orijentaciju (istok - zapad) sa otvorenim pogledom, vanjsku PVC stolariju sa alu roletnama, unutarnju drvenu stolariju, parkete na podovima, blindo vrata, klima uređaj, kompletan namještaj i elektro uređaje, itd...
Predmetna nekretnina je smještena na veoma atraktivnoj lokaciji u blizini mnogih sadržaja koji su neophodni za ugodan boravak: Osnovna škola, vrtići, banke, apoteke, brojni ugostiteljski objekti, trgovine, marketi, stanice javnog saobraćaja, itd...
Cijena: 240.000,00 KM. 
Za sve ostale informacije kao i zakazivanje termina za razgledavanje predmetne nekretnine, pozovite sljedeće brojeve telefona:
+387 (62) 396 944
+387 (62) 245 363
+387 (61) 733 004http://www.profnekretnine.ba
e-mail: info@profnekretnine.ba
 https://www.facebook.com/ProfessionalsRealEstate
*Professionals agencija za nekretnine je upisana u registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 9/2022.
*Naši uposlenici su certificirani i stručno osposobljeni."
