,title,kvadratura,broj_soba,sprat,namjesten,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon,nedavno_adaptiran,details
0,"
                                                    TOTAL PRO / Dvosoban stan 67m2 / Čengić Vila
                                                ",,,,,,,Nedima Filipovića,5,2000-2009,Parket,True,True,True,True,True,,True,True,True,True,True,29.05.2023,Ostalo,True,,,True,,True,,True,,"TOTAL PRO / Dvosoban stan 67m2 / Čengić VilaProdaje se dvostrano orjentisan dvosoban stan, površine 67 m², na odličnoj lokaciji u ulici Nedima Filipovića, naselje Čengić Vila, općina Novo Sarajevo. Isti je pozicioniran na II spratu stambene zgrade novije gradnje sa liftom.Stan se sastoji od: ulaznog hodnika, ostave, kupatila, spavaće sobe, dnevnog boravka sa izlazom na ustakljeni balkon, kuhinje sa trpezarijom.Stan posjeduje podrumsku prostoriju.Zgrada u kojoj se nalazi stan izgrađena je 2005. godine. Podne obloge parket i keramika, unutrašnja i vanjska stolarija drvo, na balkonu je postavljena ALU stolarija, ulazna vrata blinda.Grijanje je centralno gradsko ""Toplane"".  U neposrednoj blizini se nalaze svi sadržaji neophodni za svakodnevni način života, uključujući obrazovne i zdravstvene ustanove, stanice javnog gradskog prevoza, zelena pijaca, mnoge pekare, apoteke, te ugostiteljski objekti.Stambena zgrada je okružena mnoštvom uređenih zelenih površina i lokacija je poznata kao mirno i porodično naselje.TOTAL PRO NEKRETNINEMerhemica trg 15🔗 www.totalpronekretnine.ba 👉 aktuelna ponuda nekretnina📨 totalpro.realestate@gmail.com📞 062 337 945Broj registra: 20/2022"
1,"
                                                    LOCUS: Dvosoban stan, drugi sprat, nas. Bulevar, Ilidža
                                                ",,,,,,,Džemala Bijedića,,2020+,Parket,,True,True,True,True,True,True,,True,True,True,26.06.2023,Istok,,,,,,,,,,"LOCUS šifra: 047L-2023SAgent: Elvedina Ganibegović, 061/163-238E-mail: elvedina@locus.baŽelite saznati više o ovoj nekretnini? Za više fotografija i dodatne informacije posjetite: https://www.locus.ba/search/listing/6015Opis nekretnine:Prodaje se dvosoban stan uknjižene površine 51,02m2 u novoizgrađenom stambeno-poslovnom objektu sa dva lifta smješten na drugom spratu u ulici Džemala Bijedića, naselje Stup – Bulevar, Opština Ilidža.Predmetna nekretnina je odmah useljiva, a zgrada kao i kompleks su izgrađeni 2021 godine. Prilikom izgradnje su korišteni najkvalitetniji građevinski materijali koji su dostupni na tržištu, a posebnu pažnju investitor je posvetio funkcionalnosti stvih stambenih jedinica.Stan se sastoji od dnevnog boravka sa trpezarijom, spavaće sobe, kuhinje, kupatila, predsoblja, ostave i lođe.Posebnu pogodnost za buduće vlasnike predstavlja namještaj koji je većim dijelom uklkjučen u oglašenu cijenu.Bogastvo naselja ogleda se u raznovrsnosti sadržaja koje nudi i djelatnosti koje se obavljaju u istom. Prisutni su supermarketi, drogerije, saloni namještaja, vodeće trgovine bijelom tehnikom i elektromaterijalom, moderni saloni ljepote, brojni ugostiteljski objekti, itd.Naselje Bulevar ističe se dobrom lokacijom, izuzetnom saobraćajnom povezanošću, modernim dizajnom i visokim kvalitetom materijala. Posebna pažnja se posvetila vanjskom uređenju Bulevara.Ispred zgrade se nalazi pješačka i biciklistička staza, a sportski tereni su dostupni unutar samog naselja.Stan odlikuje odlična dispozicija i funkcionalnost, istočna orijentacija čini ga izrazito svijetlim i prozračnim tokom većeg dijela dana.Ono što ovu nekretninu čini još atraktivnijom jeste odlična saobraćajna povezanost sa ostalim dijelovima grada. U bližem okruženju je dostupno mnoštvo sadržaja koji život na ovoj pristupačnoj mikrolokaciji čine veoma ugodnim.Za posjetu ovoj nekretnini pozovite Vašeg LOCUS agenta: 061/163-238 ili VIBER/ WhatsApp/ IMO +38761163238.Lokacija: Predmetna nekretnina se nalazi na drugom spratu novoizgrađenog stambeno-poslovnog objekta sa dva lifta u ulici Džemala Bijedića, naselje Bulevar – Stup, Opština Ilidža.Bogastvo naselja ogleda se u raznovrsnosti sadržaja koje nudi i djelatnosti koje se obavljaju u istom. Prisutni su supermarketi, drogerije, saloni namještaja, vodeće trgovine bijelom tehnikom i elektromaterijalom, moderni saloni ljepote, brojni ugostiteljski objekti, dječije igralište, itd.Stanica javnog gradskog saobraćaja udaljena je cca. 200 metara od predmetne nekretnine.Sadržaj:Dnevni boravak sa trpezarijom, spavaća soba, kuhinja, kupatilo, predsoblje i lođa.Standard:Centralno grijanje (vlastita kotlovnica) sa vlastitim kalorimetrom. Vanjska PVC stolarija sa ugrađenim troslojnim staklima tzv. low-e sa punjenim plinskim komorama koje služe za kvalitetnu zaštitu temperature u stanu u svim atmosferskim prilikama. Unutrašnja drvena stolarija. Troslojni parket debljine 14mm u dnevnom boravku, spavaćoj sobi i trpezariji. Pločice u kupatilu i kuhinji. Ulazna protuprovalna i protupožarna vrata sa sigurnosnom bravom. Klima uređaj u dnevnom boravku. Dva lifta. Interfon. Zajednički parking. Priključci za internet, kablovsku TV i telefon. Ostava.NAPOMENA:Navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije.LOCUS Nekretnine d.o.o ne preuzima nikakvu odgovornost za moguća odstupanja od zemljišnoknjižnih podataka i katastarskih podataka sa stvarnom situacijom nekretnine na terenu. Kupac se upućuje da izvrši detaljnu provjeru svih zemljišnoknjižnih podataka, katastarskih podataka i stvarne situacije nekretnine te da se posavjetuje sa notarom, kojeg odabere za zaključenje kupoprodajnog ugovora.Agencija LOCUS Nekretnine d.o.o. je upisana u Registar posrednika kod Federalnog ministarstva trgovine pod registarskim brojem 27/2023.﻿Planirate prodaju Vaše nekretnine? Kontaktirajte nas i uvjerite se da smo najbrži i najefikasniji: +387 33 214 441"
2,"
                                                    Lijep, adaptiran stan površine 48m2, Dobrinja 1
                                                ",,,,,,,Trg sabora Bosanskog,,1980-1989,Laminat,,,,,,,,,,,,29.06.2023,Zapad,,,,,,,,,,"TOP NEKRETNINE d.o.o. Sarajevo (Broj u registru posrednika FMT: 23/2022)  oglašava prodaju jednosobnog stana uknjižene površine 48m2 u prizemlju manje stambene zgrade od 3. sprata u ulici Trg sabora Bosanskog, Dobrinja 1, općina Novi Grad Sarajevo.Stan se sastoji od ulaznog hodnika, WC sa kupatilom, kuhinje sa trpezarijom, ostave i prostranog dnevnog boravka koji je trenutno pregrađen oramrom da bi se dobio odvojeni dio za spavaću sobu i lođe koja ima izlaz na lijepo uređen vrt. Pristup dnevnom boravku je moguć iz ulaznog hodnika i kuhinje. Stanu pripada i jedna vanjska ostava.Posljednja adaptacija stana je rađena 2018. i tom prilikom je postavljena nova PVC stolarija, postavljena ulazna blindo vrata, mijenjane instalacije za vodu sa novim kupatilnim i kuhinjskim elementima i zamijenjene elektroinstalacije. Grijanje u stanu je objezbjeđeno iz gradskih Toplana, a postoji i priključak za plin. U dnevnom boravku i spavaćoj sobi se nalazi laminat, dok je keramika u kuhinji, hodniku i kupatilu.Na prozorima se nalaze roletne dan-noć, te vanjske roletne.KontaktEdin DelićAgent za nekretnineMob:    +387 61 800 069E-mail: agencija@topnekretnine.baKoševo 10/I 71000 Sarajevo, BiHTel:      +387 33 265 645Fax:     +387 33 265 646Web:    topnekretnine.ba"
3,"
                                                    Trosoban stan - Centar - Koševo - Bolnička - 90 m2
                                                ",,,,,,,Bolnička,,,Parket,True,True,True,True,,,True,,True,,True,14.06.2023,Sjeverozapad,True,False,,,,,,True,True,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448E-mail: mirza@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/trosoban-adaptiran-stan-centar-kosevo-bolnicka-90-m2/CITY Nekretnine ekskluzivno prodaje trosoban adaptiran stan u općini Centar, naselje Koševo, ul. Bolnička, ukupne površine 90 m2.Stan se nalazi na trećem spratu stambene zgrade - nebodera sa dva lifta u ulici Bolnička, naselje Koševo, općina Centar. U neposrednoj blizini zgrade nalazi se pekara, supermarket, Klinički centar Univerziteta u Sarajevu - bolnica Koševo, autobuska stanica, taxi stajalište, Medicinski i Stomatološki fakultet, kao i drugi mnogobrojni sadržaji koji su karakteristični za ovu lokaciju.Kvadratura stana iznosi 90 m2 (uknjiženo 84 m2), po strukuri je trosoban, sjeverozapadne orjentacije.Stan posjeduje:- Dnevni boravak sa izlazom na zatvoreni balkon- Zatvoreni balkon - lođa- Predsoblje i trpezariju- Modernu kuhinju sa svim ugradbenim elementima- Glavnu spavaću sobu sa ugradbenim ormarom- Drugu spavaću - dječiju sobu sa ugradbenim ormarom- Kupatilo i dodatni toalet- Degažman sa ugradbenim ormarom- Ulazni hodnik sa ugradbenim cipelarnikom i ormarom- Centralno grijanje - gradsko - toplane- Vanjsku PVC i drvenu stolariju i unutrašnju drvenu stolariju- Blindirana vrata, interfon, lift- Priključke telefona, kablovske televizije i interneta- Parking ispred zgrade - javniStan je u cjelosti adaptiran prije godinu dana, pri čemu je urađena zamjena svih instalacija, podova, keramike, unutrašnje i vanjske stolarije, itd.CIJENA: 441.000 KM"
4,"
                                                    MY SPACE/ Stan/ Pofalici/ RENOVIRAN/ 85m2
                                                ",,,,,,,Zmaja od Bosne,,,Parket,,True,True,True,True,,True,,True,True,,20.06.2023,Ostalo,True,,,,,True,,,,"""MY SPACE"" Nekretnine prodaju trosoban stan u Sarajevu, općina Novo Sarajevo, naselje Pofalići, u ulici Zmaja od BosneStan je površine 85,5m2 + 2 lođe i nalazi se na I spratu u stambenoj zgradi sa liftom. Po strukturi stan je trosoban.Sastoji se iz hodnika, dnevnog boravka, kuhinje, trpezarije sa izlazom na zatvorenu lođu, degažmana, dvije spavaće sobe (jedna spavaća soba je sa izlazom na drugu zatvorenu lođu), ostave, kupatila i dva wc-a. Stan je renoviran. Vanjska stolarija je PVC. Unutrašnja stolarija je drvena. Pod je parket i keramika. Grijanje je centralno gradsko. Ulazna vrata su blindirana. U stanu ostaju ugradbene stvari. Nalazi se na atraktivnoj lokaciji, u blizini gradskog prevoza i svih neophodnih sadržaja.Za više informacija posjetite link: https://www.nekretnine-myspace.com/nekretnine/trosoban-renoviran-stan-pofalici-85m2-13590/Cijena stana je 399.000 KMSve informacije možete dobiti na slijedeće brojeve telefona:+387 62 599 172+387 66 499 822www.nekretnine-myspace.comMY SPACE d.o.o.Registarski broj posrednika 02/2022Mis Irbina br. 2271000 Sarajevo"
5,"
                                                    Prodajemo jednosoban stan Stari Grad kod Pivare
                                                ",,,,,,,Budzak 16,4,1960-1969,Parket,True,True,True,True,True,,,,True,True,True,12.06.2023,Sjeveroistok,True,False,,,,True,,True,,"Prodajemo jednosoban stan, stolarija se mora komplet zamijeniti i okreciti stan, blindirana vrata imaju. Stan se nalazi na predivnoj lokaciji, minuta od Sarajevske pivare, Doma zdravlja Stari Grad, Principovog mosta, 5 minuta pješke do Sebilja na Baščaršiji….Stan je u mirnom naselju nekoliko stambenih trokratnica zgrada, uz zgradu imaju bašte i jako puno zelenila, u stanu ste ali ipak okruzeni zelenilom ne zgradama. Parking ima ispred zgrade. Stan je jednosoban ima veliku spavaću sobu, dnevnu sobu iz koje izlazite na balkon, ima mala kuhinjica, kupatilo, hodnik i ostava u podrumu. Stan ne na prvom spratu…
Na fotografijama možete vidjeti stan (stvari se izbacuju) i objašnjenje gdje je tačno lokacija pomenutog stana….
Zaista fantastična lokacija…. Vlasnistvo uredno 1/1
Režije u stanu minimalne, plin ima….."
6,"
                                                    MY SPACE/ Stan sa garažom/ Ilidza/ NOVOGRADNJA 71(74)m2
                                                ",,,,,,,Ramiza Jašara,,,Parket,,,True,True,True,,,True,True,True,True,30.05.2023,,True,,,,,True,,,,"""MY SPACE"" Nekretnine prodaju dvoiposoban stan u Sarajevu, općina Ilidža, naselje Lužani u ulici Ramiza Jašara.Stan je površine 71 m2 po ZK izvatku a stvarnih 74 m2 i nalazi se na IV spratu stambene zgrade bez lifta, koji je ujedno i zadnji. Po strukturi je dvoiposoban.Sastoji se iz hodnika, velikog dnevnog boravka sa kuhinjom i trpezarijom, dvije spavaće sobe, ostave i kupatila. Vanjska stolarija je ALU, unutrašnja stolarija je drvena. Pod je parket i keramika.Grijanje je centralno gradsko. Stan se nalazi u novogradnji iz 2011. godine i posjeduje garažno mjesto i ostavu. Takodjer ima i svoje vanjsko parking mjesto koje pripada zgradi i nije uknjiženo.Više informacija možete dobiti na linku: https://www.nekretnine-myspace.com/nekretnine/dvoiposoban-renoviran-stan-sa-garazom-luzani-71-74-m2-m2-13565/Cijena stana sa garažom i ostavom je 219.500 KM.﻿Sve informacije možete dobiti na slijedeće brojeve telefona:+387 62 599 172+387 66 499 822www.nekretnine-myspace.comMY SPACE d.o.o.﻿Registarski broj posrednika 02/2022Mis Irbina br. 2271000 Sarajevo"
7,"
                                                    JEDNOSOBAN STAN CENTAR-BREKA
                                                ",,,,,,,Hasana Sušića,4,1980-1989,Parket,True,,True,True,True,,True,,True,True,,27.06.2023,Zapad,True,,True,True,,,,True,,"NEKRETNINE KARMELA oglašavaju prodaju stana po strukturi jednosobnog stana, površine 41 m2, u ulici Hasana Sušića, naselje Breka, općina Centar. Predmetna nekretnina se nalazi na visokom prizemlju stambene zgrade sa liftom.Nekretnina je smještena u zgradi kvalitetne gradnje ( fasadne cigla), zgrada useljena 1989 godine. Stambeni prostor je veoma funkcionalan, optimalna spratnost i iskorišten stambeni prostor koji nudi mogućnost promjene strukture u dvosoban stan su velike prednosti koje odlikuju ovu nekretninu i čine konkurentnom na tržištu.Dispozicija prostorija:– predsoblje– dnevni boravak– trpezarija– radni dio kuhinje– kupatilo i toalet– balkonLOKACIJA:Stan se nalazi na visokom prizemlju stambenog objekta u ulici Hasana Sušića, naselje Breka, općina Centar. U neposrednoj blizini nekretnine nalazi se osnovna i srednja škola, Univerzitetski klinički centar Sarajevo, supermarketi, Merkator, Konzum, Malezijska džamija Breka, pijaca Ciglane, sportsko – rekreacioni centri , apoteka, pošta, banke, ugostiteljski objekti, dječije igralište, košarkaški tereni i drugi sadžaji karakteristični za pomenutu lokaciju.Ispred zgrade se nalazi veliko parkiralište za stanare zgrade što olakšava korištenje vlastitog automobila.Nekretnina je zapadne orijentacije i jako je dobro osvijetljena tokom cijelog dana. Predulaz u zgradu se uredno održava i naselje je specifično po mirnom okruženju u centru grada daleko od gradske buke pa time pruža oazu mira i ugodnog života.STANDARD:Grijanje u stanu je iz gradskih toplana (centralno gradsko), dok je u kupatilu i toaletu bojler na plin. U radnom dijelu kuhinje postoji doveden priključak plina. Na podovima u trpezariji, dnevnom boravku postavljen je parket, dok su u predsoblju, radnom dijelu kuhinje, kupatilu i toaletu, balkonu postavljene keramičke pločice. Vanjska i unutrašnja stolarija je drvena. Objekat posjeduje interfon i podrumski prostor koji se nalazi u suterenskom dijelu zgrade.Predmetnu nekretnina je u izvornom stanju pa zahtijeva određena ulaganja.Agencija za poslovanje nekretninama KARMELAAgencija je registrovani posrednik broj 07/2022Azize Šaćirbegović bb ( PC Robot General I kat)061 926 069 Karmela Lopin licencirani agent posredovanja 01-01.1-89/22VAŠ KOMPAS U SVIJETU NEKRETNINA!"
8,"
                                                    Stan Sarajevo - Centar 96m2
                                                ",,,,,,,Nusreta Fazlibegovica,10,1980-1989,Parket,True,,True,True,True,,,,True,True,True,02.05.2023,Jugoistok,True,,True,True,,True,,True,,"Stab na dvije etaže sa baštom i garažom, pozicioniran u mirnom naselju Opštine Centar, nadomak stadiona Koševo, ulica Nusreta Fazlibegovića.
 
Objekat se sastoji od dvije etaže, prvu čine prostrani dnevni boravak iz kojeg se izlazi na terasu i baštu, zasebna kuhinja, toalet i dvije ostave, drugu etažu čine dvije sobe (od kojih jedna ima i balkon), zatim kupatilo i velika spavaća soba. 
 
Uknjižena kvadratura  je 96 m2, dok je garaža uknjižena na 15 m2. Bitno je napomenuti da postoji mogućnost nadogradnje još jedne etaže (kao na objektu sa lijeve strane) čime bi se ukupna kvadratura povečala za cca. 60 m2.
 
Predmetnu nekretninu je neophodno renovirati, što ostavlja mogućnost novom vlasniku da istu prilagodi svojim željama i potrebama.
 
Za sve ostale inf. i eventualni obilazak, pozovite: 061/556-221
 "
9,"
                                                    Stan Sarajevo - Centar 70m2
                                                ",,,,,,,Ismeta Mujezinovića  4,5,1980-1989,Parket,True,True,True,True,True,,,,True,True,True,18.06.2023,Ostalo,True,,True,True,,True,,True,,
