Unnamed: 0,title,cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon.1,nedavno_adaptiran,details
0,"
                                                    Stan Sarajevo - Novo Sarajevo 70m2 Grbavica
                                                ",295.000 KM,70.0,Četverosoban (4),5,Namješten,Renoviran,Plin,Prodaja,Grbavicka 84,16.0,1960-1969,Laminat,True,,True,True,True,True,,,,True,,19.04.2023,Jugoistok,True,,True,True,,,,True,True,"Prodajem kompletno renoviran, namjesten i opremljen stan na Grbavici. Nalazi se na V spratu u zgradi bez lifta. Izuzetno svijetao i osuncan, Juzno i Sjeverno orijentisan, povrsine 70mkv + 16 mkv terase. Sastoji se od hodnika, kupatila, 2 spavace sobe + sobe gardarobera, kuhinje, trpezarije i dnevnog boravka koji su povezani i otvoreni. Na prostranu terasu se izlazi iz dnevne sobe. Lokaciju karakterise blizina svih potrebnih sadrzaja za ugodan i kvalitetan zivot."
1,"
                                                    Stan - Novogradnja Veneto - Otoka - 116 m2
                                                ",489.762 KM,116.0,Četverosoban (4),6,Namješten,Novogradnja,Centralno (gradsko),Prodaja,Generala Mehmeda Alagića (ex.Srđana Aleksića),6.0,2020+,Parket,True,True,True,True,,True,True,True,True,,True,08.06.2023,Istok,True,,,True,,True,,True,,"CITY Nekretnine d.o.o.Upisan u registar posrednika kod FMT pod reg.brojem: 25/2022Branilaca Sarajeva 20/I, SarajevoKontakt telefon: 033 550 040, 062 446 448E-mail: mirza@citynekretnine.baWeb: https://citynekretnine.ba/nekretnine/prodaja/stan/cetverosoban-stan-otoka-veneto-novogradnja-113-m2/CITY Nekretnine ekskluzivno prodaje četverosoban stan sa garažnim mjestom u novogradnji “Veneto”, u općini Novi grad, naselje Otoka, ukupne površine 116,61 m2.Stan se nalazi na šestom spratu stambene zgrade - novogradnje “Veneto” u ulici Generala Mehmeda Alagića (bivša Srđana Aleksića), naselje Otoka, općina Novi grad. U neposrednoj blizini zgrade nalazi se dječije igralište, tramvajska i autobuska stanica, supermarket, Olimpijski bazen Otoka, caffe bar, restoran, pizzerija, džamija, kao i drugi mnogobrojni sadržaji koji su karakteristični za ovu lokaciju.Kvadratura stana iznosi ukupno 116,61 m2 (stan 113,45 i ostava 3,16 m2), po strukuri je četverosoban, dvostrane orjentacije istok - sjever.Stan posjeduje:- Dnevni boravak sa izlazom na balkon- Trpezariju sa izlazom na balkon- Balkon- Kuhinju- Glavnu spavaću sobu sa garderoberom (walk-in closet) i vlastitim kupatilom- Dodatne dvije spavaće sobe- Drugo kupatilo- Ostavu - vešeraj- Drugu ostavu- Hodnik- Centralno grijanje - gradsko - Toplane sa vlastitim kalorimetrom- Klima uređaj- Vanjsku i unutrašnju drvenu stolariju- Blindirana vrata, interfon, lift- Priključke telefona, kablovske televizije i interneta- Dodatnu ostavu u haustoru zgrade površine 3,16 m2- Garažno mjesto na etaži -2 površine 12,96 m2 (Nije uključeno u cijenu)- Parking - javni ispred zgradeCIJENA: 489.762 KM"
2,"
                                                    Prodaja trosoban stan sa garažom Pejton Ilidža
                                                ",225.000 KM,78.0,Trosoban (3),2,Namješten,Dobro stanje,Centralno (gradsko),Prodaja,,,1970-1979,Parket,True,True,True,True,True,,,,True,True,True,22.02.2023,,True,,True,,,,,True,,"Stanpromet.ba - agencija za nekretnine objavljuje prodaju odličnog trosobnog stana u naselju Pejton, ulica Mustafe Ice Voljevice.
Površina stana je 77 m², smješten na drugom spratu zgrade sa od tri sprata. Trostrane orijentacije i sa etažnim plinskim grijanjem, promjenjenom vanjskom stolarijom, dva balkona, blindo vrata. Zgrada se nalazi u mirnom dijelu planski gradjenog naselja, sa puno parkova i zelenila a opet neposredno blizu centra Ilidže.
Uz stan se prodaje i garaza koja se nalazi u samoj zgradi, površine 18 m².
Cijena stana 225.000 KM
Cijena garaže 20.000 KM
Certificirani agent Haris Kadić
Stanpromet.ba - agencija za nekretnine
Registarski broj posrednika 001/2022!
Grbavička 8b, 71000 Sarajevo
+ 387 62 801 801
agencija@stanpromet.ba"
3,"
                                                    Stan Sarajevo - Novi Grad
                                                ",Na upit,60.0,Trosoban (3),4,Namješten,Renoviran,Centralno (gradsko),Prodaja,trg djeca Dobrinje br 4,,,,True,True,,,,,,,,,,29.06.2023,,,,,True,,,,True,,"Prodaje se u potpunosti renoviran trosoban stan od 60 kvadrata na četvrtom spratu u zgradi bez lifta, na adresi Trg djeca Dobrinje 4 (u blizini Kupa).
Stan je dvostrano orjentisan, sa jednim balkonom. Drugi balkon prilikom renoviranja koje je obavljeno u junu 2022.godine, zatvoren i dijelom od balkona, a dijelom od trpezarije napravljena još jedna spavaća soba.
Stan se sastoji od dva hodnika, dnevnog boravka sa izlazom na balkon i pogledom na džamiju Dobrinja 3, kuhinjom, kupatilom i dvije spavaće sobe.
Stan posjeduje pripadajući podrum od cca 8 kvadrata

U cijenu stana ulazi ugradbena kuhinja sa svim elementima, 4 ugradbena ormara rađeni po mjeri, 1 bračni krevet rađen po mjeri, dva kreveta za jednu osobu rađeni po mjeri i komoda za tv.


Sve informacije na broj tel
061 807 054
."
4,"
                                                    INVESTIRAJ U DUBAI - Investiraj i profitiraj
                                                ",Na upit,35.0,Garsonjera,20+,Namješten,U izgradnji,Ostalo,Prodaja,,,,,True,True,,,True,True,True,,True,,,27.06.2023,,,,,,,,True,True,,"Investiraj u Dubai

Stanovi od 30m2 pa na više
Cijene od 170.000€ pa na više

VIDEO KAKO ĆE DA IZGLEDA STUDIO APARTMAN https://youtu.be/lLXWKUZKIb4

Način plačanja bez KAMATE

1. 13.000€ REZERVACIJA

2. 10% od ukupne cijene na potpisu ugovora (rezervacija uključena u ovih 10%)

3. 10% nakon 2 mjeseca od potpisa ugovora

4. 1% do kraja isplate

UKOLIKO KUPUJETE KAO INVESTICIJU INVESTITOR GARANTUJE 6-10% GODISNJI POVRAT OD INVESTICIJE 3 GODINE NAKON ZAVRSETKA PROJEKTA

INVESTITOR DANUBE Group firma koja postoji i posluje u Dubai-ju od 1993 godine, trenutno najveći uvoznik građevinskih materijala u UAE, sa izgradnjom objekata krenuli 2014 godine i pokazali se kao INVESTITOR od povjerenja koji na vrijeme zavrsava svoje projekte u roku 3 godine


Više informacija +38763397911"
5,"
                                                    STUP Trosoban namješten stan 70 m2
                                                ",227.700 KM,69.0,Trosoban (3),1,Namješten,Novogradnja,Plin,Prodaja,Vitomira Lukića 6,9.0,2010+,Parket,True,True,True,True,True,,True,,True,True,True,01.07.2023,Jugoistok,True,,True,,,,,True,,"Prodaje se namješten trosoban stan na Stupu, Benis zgrada (jedna od najbolje građenih zgrada na Stupu) U krugu od par minuta hoda su tramvajska i autobuska stanica, veliki broj trgovinskih i uslužnih objekata, a osnovna škola i vrtić su bukvalno ispred zgrade. Neke od osnovnih informacija su:- Prvi sprat - visoko prizemlje, 69m2 prema ZK- Hodnik, dnevni boravak+kuhinja, spavaća soba, dječija soba, kupatilo, balkon - Škola, vatrogasci i civilna zaštita pored zgrade- Blindirana visokokvalitetna ulazna vrata- Termo fasada 10 cm- Zidovi u hodniku prema stanovima su termički zaštićeni. Podovi u ulaznom dijelu hola i sanitarija su prekriveni kamenim podnim oblogama. Pod dnevnog boravaka sa trpezarijom i u sobama je visokokvalitetni hrastov parket I klase.- Kupatilo i toalet su opremljeni ugradbenim vodokotlićem i sanitarnom opremom I klase (Hansgrohe).- Kompletna zgrada je pokrivena video nadzorom - Veliki lift, povezan sa garažama - Sve pozicije vanjske stolarije su od šestokomornih PVC profila REHAU, LOW-e stakla - Plinsko etažno grijanje - Vlastiti vodomjer i mjerila za potrošnju električne energije i zemnog gasa.- Sve stvari u stanu su stare cca godinu danaPotrošnja energije po m2 objekat svrstava u niskoenergetske objekte energetskog razreda “A“ što Vam uveliko omogućava dugoročne uštede kroz troškove grijanja i hlađenja. Troškovi grijanja su minimalni. Vlasništvo uredno 1/1. Uz stan postoji mogućnost kupovine ili najma garaže na -2 etaži. Sve informacije dostupne putem poruka "
6,"
                                                    Stan novogradanja 134 m2 Dobrinja  - Novi Grad
                                                ",610.000 KM,134.0,Trosoban (3),2,Namješten,Renoviran,Centralno (gradsko),Prodaja,Želimira Vidovića Kelija,,2015+,Parket,,True,True,True,True,True,True,True,True,True,True,13.06.2023,Jugoistok,True,,True,True,True,True,True,,True,"Stan na Dobrinji, novogradnja, II sprat, uknjižene površine 134 m2. Nekretnina se sastoji od prostranog dnevnog boravka, izdvojene trpezarije i zasebne kuhinje, tri sobe, dva kupaila i jednog toaleta.
Nekretnina se prodaje u potpunosti namještena, a novi vlasnik ima mogučnost kupovine dva parking mjesta u prizemlju zgrade (ista ne ulaze u navedenu cijenu).

Za sve ostale inf. i eventualni obilazak pozovite kontakt mob. +387 61 556 221"
7,"
                                                    Bauland / jednosoban stan / BULEVAR, Stup
                                                ",148.000 KM,37.0,Jednosoban (1),5,Namješten,Novogradnja,Centralno (Kotlovnica),Prodaja,,3.34,2020+,,True,True,True,True,,True,True,,,,True,19.05.2023,Istok,True,,,,True,,,True,,"BAULAND prodaje:Jednosoban namješten stan površine 37m2 koji se nalazi na petom spratu stambeno-poslovnog kompleksa BULEVAR u naselju Stup, Općina Ilidža. Stambeno-poslovna zgrada je izgrađena 2020. godine i može se pohvaliti visokim standardom gradnje i kvalitetom života koji nudi stanarima. Zgrada se sastoji od prizemlja i devet spratova sa po dva lifta u svakom ulazu s tim da su na devetom spratu smješteni luksuzni penthouse apartmani. Takođe, zgrada je osigurana video nadzorom.Predmetna nekretnina se sastoji od ulaznog hodnika, kupatila, djelimično izdvojene kuhinje, dnevnog boravka sa trpezarijom i balkona.Vanjska stolarija je PVC sa ugrađenim troslojnim staklima tzv. low-e sa punjenim plinskim komorama koje služe za kvalitetnu zaštitu temperature u stanu u svim atmosferskim prilikama. Unutrašnja stolarija je drvena, izrađena od prirodnog hrasta. Na podu u dnevnom boravku je postavljen troslojni parket debljine 14 mm dok je u hodniku, kupatilu, kuhinji i na balkonu postavljena keramika.Ulazna vrata u stanu su protuprovalna i protupožarna sa sigurnosnom bravom. U stanu je instalirana inverter klima marke GREE.Stan se prodaje namješten, izuzev TV-a, mašine za veš i ličnih stvari vlasnika.Nekretnina je na mjesečnom nivou što se tiče režijskih troškova izuzetno povoljna jer ima odvojene mjerne jedinice za vodu, struju i grijanje a pored navedenog tu je i vrhunski termo izolacioni sistem.Prednosti nekretnine:Blizina dječijeg igralištaBlizina tramvajaBlizina uslužnih i ugostiteljskih objekataJavni parking u sklopu kompleksaLokacija:Stan se nalazi u ulici Džemala Bijedića, u novoizgrađenom kompleksu BULEVAR, naselje Stup, Općina Ilidža.Stambena zgrada se nalazi u blizini glavne saobraćajnice, a sama lokacija je atraktivna zbog blizine sadržaja koji doprinose kvaliteti življenja blizini se nalaze brojni ugostiteljski objekti, apoteka, mesnica, supermarketi, itd.Informacije:Sve zainteresovane kupce pozivamo da nas kontaktiraju i zakažu obilazak nekretnine. Obilazak se može izvršiti uz prethodnu najavu na broj telefona +387 62 080 550 (Viber/WhatsApp), te putem e-mail adrese info@bauland.ba.Uz našu stručnost i profesionalnost, možete biti sigurni da ćemo u Vašem interesu pokušati postići najbolju moguću cijenu ili uvjete. Želimo Vam pružiti najbolju moguću uslugu, stoga smo uvijek spremni odgovoriti na Vaša pitanja. Javite nam se već danas i saznajte više!"
8,"
                                                    Dvosoban stan Tibra1 Stup - ZettaNekretnine
                                                ",155.000 KM,42.0,Dvosoban (2),3,Namješten,Dobro stanje,Centralno (Kotlovnica),Prodaja,,,2010+,Parket,True,True,True,True,True,True,True,True,True,True,True,12.05.2023,,True,,,,True,True,True,True,,"Agencija za nekretnine Zetta iz svoje ponude izdvaja:Na prodaju dvosoban stan u sarajevskom naselju StupStan se nalazi na trećem spratu u zgradi sa liftomPo strukturi je dvosoban - posjeduje dnevni boravak, kuhinju, spavaću sobu, ostavu, kupatilo i balkonZgrada je izgrađena 2010 godine, ima 12 spratovaU stanu se nalazi nov namještaj i većina se ostavlja novom vlasniku Cijena: 159.000 KMZa više informacija se javite našem agentu na broj +387 61 468 094 - Adis Ponudu naših nekretnina pronađite na našoj web stranici zetta.ba ili na olx profilu ZettaNekretnineZetta je agencija čija je osnovna djelatnost promet nekretnina, ali naš tim je uvijek na usluzi za savjetovanje, procjenu, povezivanje, prevođenje računa, uknjižbu, pripremu za kredit... Naš tim vam pruža svu potrebnu podršku kako bi što lakše kupili ili prodali svoju nekretninu.  Javite nam se na brojeve telefona: +387 61 391 301 +387 61 468 094+387 33 849 030Možete nas posjetiti na adresama: Dr. Silve Rizvanbegović 32 (treći sprat)Štrosmajerova 10 (drugi sprat)Mi prodajemo vašu nekretninu! https://zetta.ba/ "
9,"
                                                    Stan Sarajevo - Novo Sarajevo - Grbavica - 110m2
                                                ",449.000 KM,110.0,Trosoban (3),1,Namješten,Renoviran,Plin,Prodaja,,,2000-2009,Ostalo,True,True,True,True,True,True,,,True,True,True,26.06.2023,,True,,True,,,True,True,True,,"Sarajevo Real Estate Neira Babić je ovlašteni posrednik upisan u Registar posrednika u prometu nekretninama - 05-04-32-UTOvlašteni agent: Neira BabićŽelite saznati više o ovoj ili drugim nekretninama iz naše ponude, posjetite www.sarajevo-realestate.comStan Sarajevo - Novo Sarajevo - Grbavica - 110m2 - ProdajaKratki opis Prodaje se stan površine 110,5 metara kvadratnih - u maloj stambenoj zgradi na Grbavici, koja se sastoji od četiri etaže (etažiranje je u toku!). Stan se nalazi na prvom spratu zgrade i sastoji se od dnevnog boravka, trpezarije, kuhinje, dvije spavaće sobe, kupatila i ulaznog hola. Stan ima svoju natkrivenu terasu. Ispred zgrade se nalazi veliko ograđeno dvorište sa kapijom na daljinsko upravljanje. Budući kupac uz kupovinu stana dobija na korištenje po jedno parking mjesto u tom dvorištu. Prilaz nekretnini je u nivou sa cestom koja je prostrana i u ravnici. Stan posjeduje dosta prirodne svjetlosti; u enterijeru su korištene svijetle boje; te je dispozicija unutrašnjeg prostora veoma dobro organizovana, a sve prostorije u stanu su veoma komforne. U stanu ostaje sav ugradbeni namještaj i pokretni namještaj po dogovoru sa vlasnikom. U izgradnji su korišteni veoma kvalitetni materijali; ulaz u zgradu kao i u stan je osiguran sigurnosnim vratima; haustor je lijep i uredan. Grijanje je plinsko-podno grijanje. Obzirom na kvalitet i očuvanost enterijera i same zgrade - nisu potrebna dodatna ulaganja, te je stan odmah useljiv.   NapomenaNavedena tražena cijena predstavlja traženu cijenu za predmetnu nekretninu definisanu posredničkim ugovorom. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od tražene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije.Dostupan: mogućnost rezervacije prije etažiranja!Više informacija i termin za uvid u stanje nekretnine možete dobiti vlastiti na zahtjev.﻿Kontakt telefon:061 157 379 NeiraWeb: https://www.sarajevo-realestate.com/e-mail: info@sarajevo-realestate.comFacebook  InstagramYouTube   Neira Babić since 1996..."
