,title,cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,vrsta_oglasa,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,balkon,blindirana_vrata,internet,kablovska_tv,kanalizacija,klima,lift,novogradnja,struja,voda,tel_prikljucak,datum_objave,primarna_orijentacija,uknjizeno_zk,kucni_ljubimci,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,balkon,nedavno_adaptiran,details
0,"
                                                    Ilidza Luzani Dvosoban stan 61m2
                                                ",Na upit,61,Dvosoban (2),Visoko prizemlje,Nenamješten,,Centralno (gradsko),Prodaja,Lužanski put 4,,2020+,,True,True,,,True,,True,True,True,True,,27.05.2022,,True,,,,True,,,True,,"⭐️⭐️⭐️⭐️⭐️ Dvosoban stan, 61m2, Ilidža, park, cijena po dogovoru Za više informacija: Mob: 061-488-073  "
1,"
                                                    Novogradnja-Dolac Malta 69,93m2
                                                ",Na upit,68,Trosoban (3),2,Nenamješten,,Ostalo,Prodaja,Paromlinska,5.2,2020+,Parket,True,True,True,True,True,True,True,True,True,True,True,19.09.2022,Jugoistok,True,,,True,True,,True,True,,"NOVOGRADNJA-DOLAC MALTATrosoban stan površine 69,93 m2 pozicioniran na 2. spratu, jugo-istočne orijentacije.Sastoji se od hodnika, dnevnog boravka, kuhinje, 2 spavaće sobe, lođe, kupatila, toaleta i vešeraja.Stambeni objekat se nalazi u ulici Paromlinska naselje Dolac Malta, Općina Novo Sarajevo.Položaj stambeno-poslovnog objekta čini život lakšim i ugodnijim. Obrazovne institucije svih nivoa su na par minuta hoda, Vilsonovo šetalište, Mercator Ložionička i drugi marketi, naplatni centar, novouređena četiri parka, kao i veliki broj značajnih institucija (BH telecom, Elektroprivreda...)Certificirana agencija za nekretnine Gallery Sales Centre Registarski broj posrednika 131/2022 Put života 12, 71 000 Agent: Elzana SejdićBroj tel.: +387 61 315 200Mail: elzana.sejdic@gallery.ba"
2,"
                                                    MY SPACE/ Stan/ Stari Grad/ RENOVIRAN/ 50(65) m2
                                                ",175.000 KM,50,Trosoban (3),Prizemlje,Nenamješten,Renoviran,Centralno (gradsko),Prodaja,Maguda,,,Laminat,,,,,,,,,,,,30.06.2023,,,,,,,,,,,"""MY SPACE"" Nekretnine prodaju trosoban stan u Sarajevu, općina Stari Grad u ulici Maguda.Stan je površine 50 m2 po ZK izvatku a stvarnih 65 m2 i nalazi se na prizemlju stambene zgrade. Po strukturi je trosoban.Sastoji se od hodnika, dnevnog boravka, kuhinje, velike ostave, dvije spavaće sobe i kupatila. Vanjska i unutrašnja stolarija su drvene. Pod je laminat i keramika. Grijanje je na struju i plin. Stan se nalazi na lijepoj lokaciji, na svega par minuta hoda od Baščaršije.Više informacija možete dobiti na linku: https://www.nekretnine-myspace.com/nekretnine/renoviran-stan-stari-grad-5065-m2-13607/Cijena stana je 175.000 KM.Sve informacije možete dobiti na slijedeće brojeve telefona:+387 66 998 943+387 62 772 006+387 66 499 822http://www.nekretnine-myspace.comMY SPACE NekretnineRegistarski broj posrednika 02/2022Mis Irbina br. 2271000 Sarajevo"
3,"
                                                    Novogradnja RIVERSIDE! Stanovi 45-95m2, POPUST 5%!
                                                ",136.945 KM,45,Dvosoban (2),Prizemlje,Nenamješten,,Ostalo,Prodaja,14. maja 92,,2020+,Parket,True,True,True,True,,True,True,,True,,True,06.06.2023,,,,,,True,True,,True,,"PROSTOR šifra: N/2023-R1Agent: Ena Duka +387 62 993 433E-mail: ena@prostor.ba Želite saznati više o ovoj nekretnini? Za više fotografija i dodatne informacije posjetite: https://prostor.ba/novogradnja/stan/stup/11518OPIS NEKRETNINEPROSTOR Vam izdaje fiskalni račun za svaku uslugu! Vaša sigurnost je naša obaveza!Predstavljamo Vam novi stambeno-poslovni kompleks „RIVERSIDE“ u blizini Binga u sarajevskom naselju Stup. Ovo mini naselje je smješteno u mirnom okruženju u ulici 14 Maja 92, neposredno pored rijeke Dobrinje a ipak u blizini ulice Kurta Schorka, kojom je ostvarena direktna veza sa Aerodromom Sarajevo, autoputem A-1 i centrom grada.Stambeno-poslovni kompleks je u cjelini projektovan prema najmodernijim standardima gradnje a savremeni dizajn, kvalitetna termo fasada, vanjska PVC stolarija, podne obloge u klasi „Tarkett“ i toplotne pumpe samo neke od prednosti ovog objekta, koje budućim stanarima garantuju energetski efikasnu, jednostavnu i dugotrajnu upotrebu stambenih jedinica.Stanovi u različitim kvadraturama od 45 do 95m2 će biti dostupni u dva bloka od etaže prizemlja, pa sve do četvrtog sprata. Uz izrazito funkcionalan raspored prostorija svi tipovi stambenih jedinica će raspolagati sa dnevnim boravkom i kuhinjom u „open space“ izvedbi, spavaćim sobama, kupatilima i lođama/terasama sa pogledom na okolno zelenilo i rijeku Dobrinju.Između Bloka A i Bloka B projektovan je bezbjedan prostor za igru djece sa zelenom površinom, dječijim mobilijarom, klupama za odmor i relaksaciju na korištenje za sve buduće stanare naselja.Investitor je već obezbjedio pravosnažnu građevinsku dozvolu i početak gradnje objekta je planiran u mjesecu junu 2023, dok se završetak radova očekuje početkom 2025. godine.Trenutno je u prodaji objekat „A“ sa dostupnim sljedećim tipovima stanova, čija cijena zavisi od spratnosti, te orijentacije i pogleda:Dvosobni stanovi površine cca 45 m2 – cca 62m2 po cijeni već od 3.050,00 KM s PDV-om!Trosobni stanovi površine cca 60m2 – cca 76m2 po cijeni već od 3.300,00 KM s PDV-om!Četverosoban penthouse stan površine cca 95 m2 po cijeni od 3.600,00 KM s PDV-om!Vrlo je važno naglasiti da u ranoj fazi gradnje moguće izvršiti spajanje stanova. Također kupci u pretprodaji mogu iskoristiti i jedinstvenu priliku i ostvariti do 5% popusta na navedene cijene, koristeći ograničenu ponudu koja je u toku.Svim budućim stanarima se nudi i mogućnost kupovine otvorenog parking mjesta po cijeni od 11.700,00 KM s PDV-om i/ili garažnog mjesta po cijeni od 20.000,00 KM s PDV-om.Za rezervacije, kupovinu i sve dodatne informacije o ostalim pojedinostima pozovite Vašeg agenta Mob/Viber/ Whatsapp: Ena Duka +387 62 993 433 ili pošaljite email na: ena@prostor.ba  Na objektu će biti primjenjeni savremeni i prirodni ekološki materijali. Fasada objekta je planirana kao termička, sa stiroporom. Vanjska stolarija je planirana od PVC profila 3-slojnim staklom. Podovi u stambenim jedinicama su planirani u klasi Tarkett (hrast), keramike u hodnicima, te keramičkih pločica prve klase. Ulazna vrata u stanove će biti protuprovalna, zvučno izolovana i otporna na požar. Grijanje stambenih jedinica je riješeno putem toplotnih pumpi, te sa modularnim prekidačima i utičnicama u klasi „Hager“.Kombinacija jedinstvene lokacije, vrhunskog kvaliteta gradnje, te funkcionalno projektovanog prostora, čini ovu ponudu jedinstvenom u okruženju.LOKACIJA Ukoliko želite živjeti na mirnoj,tihoj i sigurnoj lokaciji koja se istovremeno nalazi nedaleko od glavnih saobraćajnica onda je ovo izvrsna lokacija za Vas.Na udaljenosti od 5-10 min hoda nalaze se:Tržni centar Bingo sa svim osnovnim sadržajima potrebnim za svakodnevni život.Brojni ugostiteljski objekti (restorani, moteli, hoteli)Međunarodni aerodrom SarajevoObzirom na blizinu Stupske petlje, pristup gradskim transverzalama i autoputu A1 je u mnogome olakšan te čime je nekretnina kvalitetno povezana sa svim dijelovima grada.STANDARD Fasadni sistem sa stiroporom debljine 10cm i izvrsnim toplotno-izolacijskim svojstvima. Vanjska stolarija su PVC, porijeklom iz zemalja EU, ostakljeni trostrukim termopan staklom sa argonskom ispunom. Ulazna vrata su protuprovalna sa sigurnosnom bravom i odgovarajućim okovom. Podna obloga u stanovima, keramičke pločice i prvoklasni parket, zavisno od namjene prostorije. Podovi na terasama,u kuhinji i kupatilu rađeni su od keramičkih pločica I klase. Kupatila su opremljena kvalitetnim sanitarnim opremom i galanterijom. Grijanje i hlađenje objekta je riješeno putem sistema toplotnih pumpi. Naime, sistem grijanja i hlađenja funkcioniše putem integrisanog sistema toplotnih pumpi, pri čemu je projektovan odvojeni sistem za svaku stambenu jedinicu, što znači da svaka stambena jedinica ima zaseban sistem grijanja i hlađenja uz što ide i puna kontrola nad istim. Ovaj je sistem ekološki napredan i omogućava izuzetan komfor uz nezavisnu i ekonomičnu potrošnju. Lift. Video nadzor objekta i prilaznog puta.FINANSIRANJE putem ugovora o saradnji sa većinom vodećih banaka u mogućnosti smo da Vam ponudimo u svakom trenutku najpovoljnije uslove finansiranja kupovine nekretnina na tržištu. Zašto plaćati veću kamatu nego što to morate i zašto trošiti Vaše vrijeme na obilaženje banaka, kada naš agent to može obaviti za Vas brzo i efikasno. Ova usluga je potpuno besplatna za Vas bilo da kupujete nekretninu iz naše ponude ili na neki drugi način! Niste se još odlučili koja je nekretnina prava za Vas, a znate da trebate finansiranje? Kontaktirajte već danas jednog od naših agenata kako bi provjerili koja banka je spremna da Vas finansira po najboljim uvjetima i do kojeg maksimalnog iznosa!NAPOMENA navedena tražena cijena predstavlja preporučenu cijenu za predmetnu nekretninu. Vlasnik nekretnine zadržava pravo da u svakom trenutku do pismenog zaključenja Rezervacije, Predugovora, Ugovora o zakupu ili Ugovora o kupoprodaji nekretnine prihvati cijenu koja može biti niža, ista ili viša od preporučene, ponuđenu od strane kupca/zakupca kojeg vlasnik odabere uz posredovanje agencije.Prodajete ili iznajmljujete Vašu nekretninu ? Iza nas stoji hiljade realizovanih transakcija i hiljade zadovoljnih klijenata. Postanite dio uspješne priče. Kontaktirajte nas danas: 033 570-555"
4,"
                                                    Novogradnja-Dolac Malta 78.83m2
                                                ",Na upit,78,Četverosoban (4),8,Nenamješten,,Ostalo,Prodaja,Paromlinska,5,2020+,Parket,True,True,True,True,True,True,True,True,True,True,True,19.09.2022,Istok,True,,,,True,,True,True,,"NOVOGRADNJA-DOLAC MALTAČetverosoban stan površine 78,83 m2 pozicioniran na 8. spratu, istočne orijentacije.Sastoji se od hodnika, dnevnog boravka, kuhinje, 3 spavaće sobe, lođe i kupatila.“Malta Complex” je stambeno-poslovni objekat smješten u središtu grada, u ulici Paromlinska, Novo Sarajevo. Nudi kvalitetan, komforan i jedinstven dom, lociran u mirnom dijelu grada, a ujedno na atraktivnoj lokaciji koja nudi sve potrebne sadržaje (škole, obdaništa, tržne centre, dom zdravlja, banke, pošta,) te odličnu saobraćajnu povezanost.Stanovi su dizajnirani na način da je pametno iskorištena površina, čime je kupcima data stvarna vrijednost za uloženi novac.Garažna mjesta koja su liftom povezana sa stambenim etažama, na nivoima -1,-2 i -3.Ostvarite svoj san i uživajte u svakom novom danu. Pozovite prodajne agente i zakažite svoj termin za sastanak sa prodajnim savjetnikom, koji će vam pomoći da pronađete savršenu nekretninu koja odgovara vašim potrebama i stilu života. Certificirana agencija za nekretnine Gallery Sales Centre Registarski broj posrednika 131/2022 Put života 12, 71 000 Agent: Elzana SejdićBroj tel.: +387 61 315 200Mail: elzana.sejdic@gallery.ba"
5,"
                                                    Novogradnja-Dolac Malta 47.93m2
                                                ",Na upit,47.93,Dvosoban (2),8,Nenamješten,,Ostalo,Prodaja,Paromlinska bb,7.25,2020+,Parket,,True,True,True,True,True,True,True,True,True,True,15.03.2023,Sjever,,,,,True,,True,,,"NOVOGRADNJA-DOLAC MALTADvosoban stan površine 47.93 m2 pozicioniran na 8. spratu, sjeverne orijentacije.Sastoji se od hodnika, dnevnog boravka, kuhinje,spavaće sobe, lođe i kupatila.“Malta Complex” je stambeno-poslovni objekat smješten u središtu grada, u ulici Paromlinska, Novo Sarajevo. Nudi kvalitetan, komforan i jedinstven dom, lociran u mirnom dijelu grada, a ujedno na atraktivnoj lokaciji koja nudi sve potrebne sadržaje (škole, obdaništa, tržne centre, dom zdravlja, banke, pošta,) te odličnu saobraćajnu povezanost.Stanovi su dizajnirani na način da je pametno iskorištena površina, čime je kupcima data stvarna vrijednost za uloženi novac.Garažna mjesta koja su liftom povezana sa stambenim etažama, na nivoima -1,-2 i -3.Ostvarite svoj san i uživajte u svakom novom danu. Pozovite prodajne agente i zakažite svoj termin za sastanak sa prodajnim savjetnikom, koji će vam pomoći da pronađete savršenu nekretninu koja odgovara vašim potrebama i stilu života.  Certificirana agencija za nekretnine Gallery Sales Centre Registarski broj posrednika 131/2022 Put života 12, 71 000 Agent: Elzana SejdićBroj tel.: +387 61 315 200Mail: elzana.sejdic@gallery.ba"
6,"
                                                    Tri stana / Stari Grad / Adzemovica / Logavina
                                                ",440.000 KM,78,Trosoban (3),1,Nenamješten,Novogradnja,Struja,Prodaja,,,2020+,Parket,True,True,True,True,True,True,,,,True,,21.06.2023,Jug,True,,,,True,True,True,True,,"Prodajemo tri stana u ulici Adzemovica na broju 26. Izvodjac radova je firma Duljevic doo. Objekat je prosao tehnicki prijem I stanovi su spremni za prodaju I upis u zemljisnje knjige.

Na prodaju su tri strana sljedecih kvadratura I karakterisrika:

1. Dvoetazni stan sa pripadajucom ostavom i bastom (zasebna cestica) I povrsine od 82 m2 - 520.000 KM

2. Jednoetazni stan na prvom spratu povrsine 78 m2 - 440.000 KM

3. Dvoetazni stan na drugom spratu povrsine 120 m2 - 660.000 KM

Postoji mogucnost I kupovine cijelog objekta uz dogovor.

Objekat posjeduje I garaze I ostave.

Cijena garaze iznosi 30.000 KM.
Cijena ostave iznosi 15.000 KM

Podno grijanje I ventilokoileri u kombinaciji sa Daikin toplotnim pumpama. Sve sobe imaju punu klimatizaciju uz poseban termostat. 

Kupatila su zavrsena vrhunskom italijanskom keramikom velikog formata. Keramika je uradjena gerung tehnikom te ne postoji ni jedna lajsna u kupatilu. Keramiku je postavljao Esad Kahrovic.

Stanovi su SMART, te je moguca kontrola svih funkcija putem mobitela kao sto su rasvjeta, raf store, alarm itd.

Stolarija je sedmokomorna Rehau sa troslojnim staklima.

Ostalo je jos uraditi zavrsno gletovanja (u slucaju da kupac zeli promijeniti pozicije struje u ovoj fazi nije problem uraditi I izabrati parket.

Orijentacija stanova je JUG uz maksimalni broj suncanih sati.

Kontakti investitora:

+38761076756 Asim Demirdzic  
+38761360173 Mevluda Demirdzic"
7,"
                                                    Novogradnja Apartmani Bjelašnica 44,04m2
                                                ",Na upit,44.04,Jednosoban (1),1,Nenamješten,Novogradnja,Ostalo,Prodaja,,,2020+,Parket,,True,True,True,True,,True,,True,True,True,15.03.2023,Sjeveroistok,,,,,True,,True,,,"Detaljni opisU samom centru Bjelašnice (Babin Do), u neposrednoj blizini svih turističkih sadržaja započinje priča “Vukov vis, Vučica i Vučko”. Projektovani tako da odišu modernim i jednostavnim duhom, te da se savršeno dobro uklapaju i prepliću sa planinskim duhom i ljepotom koju pruža Olimpijska planina, Bjelašnica.Objekat  “Vučko” raspolaže sa 12 apartmana, ukupne površine od 25m2 do 47m2.Shodno namjeni objekta, projektno rješenje sadrži sve potrebne elemente koji zadovoljavaju koncept savremene planinske arhitekture. Objekat je projektovan da svojom dispozicijom, volumenom, izborom materijala i vanjskim uređenjem ne naruši ambijent i okruženje u kojem se nalazi, već da ga oplemeni te da poštuje i sprovodi u djelo postavljene urbanističko-tehničke uvjete.Svi apartmani se prodaju po sistemu “ključ u ruke” sa kompletnom ugradbenom kupaonicom koja je projektovana po sistemu turskog kupatila.Certificirana agencija za nekretnine Gallery Sales Centre Registarski broj posrednika 184/2022 Put života 12, 71 000 Agent: Alen EminovićBroj tel.: +387 61 318 700Mail: alen.eminovic@gallery.ba"
8,"
                                                    Apartmani USKORO USELJIVO! Vučica 33.36m2 Bjelašnica
                                                ",Na upit,33.36,Garsonjera,Prizemlje,Nenamješten,Novogradnja,Ostalo,Prodaja,,8.14,2020+,Parket,True,True,True,True,True,,True,,True,True,True,15.03.2023,Sjever,,,,,True,,True,True,,"Detaljni opisPostanite vlasnik luksuznog apartmana na Olimpijskoj ljepotici!Izaberite najbolju lokaciju, pouzdanost, vrhusku opremu, atraktivan izgled i kvalitet, izaberite “VUČICU” . Apartmani su smješteni u samom srcu Bjelašnice, na Babinom dolu na blagoj uzvišici odakle se pruža izvanredan pogled. Objekat se sastoji od ukupno 37 apartmana .Opis:Apartman površine 33.36 m2 nalazi se na prizemlju objekta. Sastoji se iz hodnika, dnevnog boravka sa kuhinjom, kupatila i terase. Sistem prodaje je ''ključ u ruke''. U cijenu su uračunati svi priključci i kompletno opremljeno kupatilo (tursko). Vučica je nastavak priče Vukov vis koja je započeta na proljeće prošle godine. Lokacija:Vukov vis, Vučica i Vučko se nalaze u neposrednoj blizini hotela Han iznad kružnog toka, u mirnom dijelu Bjelašnice. Sunčana pozicija nam pruža otvoren pogled prema srcu Babinog dola i samom centru dešavanja.Certificirana agencija za nekretnine Gallery Sales Centre Registarski broj posrednika 184/2022 Put života 12, 71 000 Agent: Alen EminovićBroj tel.: +387 61 318 700Mail: alen.eminovic@gallery.ba  "
9,"
                                                    Novogradnja Apartmani Bjelašnica Vučica 51,13m2
                                                ",Na upit,51.13,Dvosoban (2),4,Nenamješten,Novogradnja,Ostalo,Prodaja,,,2020+,Parket,,True,True,True,True,,True,,True,True,True,15.03.2023,Jug,,,,,True,,True,,,"Detaljni opisPostanite vlasnik luksuznog apartmana na Olimpijskoj ljepotici!Izaberite najbolju lokaciju, pouzdanost, vrhusku opremu, atraktivan izgled i kvalitet, izaberite “VUČICU” . Apartmani su smješteni u samom srcu Bjelašnice, na Babinom dolu na blagoj uzvišici odakle se pruža izvanredan pogled. Objekat se sastoji od ukupno 37 apartmana .Opis:Apartman površine 51,13 m2 nalazi se na četvrtom spratu objekta. Sastoji se iz hodnika, dnevnog boravka sa kuhinjom, spavaće sobe, kupatila i vešeraja. Sistem prodaje je ''ključ u ruke''. U cijenu su uračunati svi priključci i kompletno opremljeno kupatilo (tursko). Vučica je nastavak priče Vukov vis koja je započeta na proljeće prošle godine. Lokacija:Vukov vis, Vučica i Vučko se nalaze u neposrednoj blizini hotela Han iznad kružnog toka, u mirnom dijelu Bjelašnice. Sunčana pozicija nam pruža otvoren pogled prema srcu Babinog dola i samom centru dešavanja.Certificirana agencija za nekretnine Gallery Sales Centre Registarski broj posrednika 184/2022 Put života 12, 71 000 Agent: Alen EminovićBroj tel.: +387 61 318 700Mail: alen.eminovic@gallery.ba"
