cijena,kvadratura,broj_soba,sprat,namjesten,stanje,vrsta_grijanja,adresa,kvadratura_balkona,godina_izgradnje,vrsta_poda,blindirana_vrata,internet,kablovska_tv,klima,lift,novogradnja,tel_prikljucak,uknjizeno_zk,plin,podrum_tavan,video_nadzor,ostava_spajz,alarm,nedavno_adaptiran
295000.0,70.0,4.0,5,Namješten,Renoviran,Plin,Grbavicka 84,16.0,1960-1969,Laminat,False,True,True,True,False,False,False,True,True,True,False,False,False,True
489762.0,116.0,4.0,6,Namješten,Novogradnja,Centralno (gradsko),Generala Mehmeda Alagića,6.0,2020,Parket,True,True,True,True,True,True,True,True,False,True,False,True,False,False
225000.0,78.0,3.0,2,Namješten,Dobro stanje,Centralno (gradsko),,0.0,1970-1979,Parket,True,True,True,False,False,False,True,True,True,False,False,False,False,False
227700.0,69.0,3.0,1,Namješten,Novogradnja,Plin,Vitomira Lukića 6,9.0,2010,Parket,True,True,True,False,True,False,True,True,True,False,False,False,False,False
610000.0,134.0,3.0,2,Namješten,Renoviran,Centralno (gradsko),Želimira Vidovića Kelija,0.0,2015,Parket,True,True,True,True,True,True,True,True,True,True,True,True,True,True
148000.0,37.0,1.0,5,Namješten,Novogradnja,Centralno (Kotlovnica),,3.34,2020,,True,True,True,True,True,False,True,True,False,False,True,False,False,False
155000.0,42.0,2.0,3,Namješten,Dobro stanje,Centralno (Kotlovnica),,0.0,2010,Parket,True,True,True,True,True,True,True,True,False,False,True,True,True,False
449000.0,110.0,3.0,1,Namješten,Renoviran,Plin,,0.0,2000-2009,Ostalo,True,True,True,True,False,False,True,True,True,False,False,True,True,False
259000.0,66.0,3.0,4,Namješten,Renoviran,Centralno (Plin),,20.0,1970-1979,Parket,True,True,False,True,False,False,True,True,True,True,False,False,True,True
240000.0,69.0,3.0,16,Namješten,Renoviran,Centralno (gradsko),,0.0,,Parket,True,False,False,True,True,False,True,True,False,False,False,True,False,True
155000.0,55.0,2.0,5,Namješten,,Centralno (gradsko),,0.0,,,True,False,False,True,False,False,False,True,False,False,False,True,False,False
278000.0,63.0,2.0,15,Namješten,Renoviran,Centralno (gradsko),,0.0,1970-1979,,True,True,True,True,True,False,True,True,False,True,True,False,True,True
122000.0,30.0,0.0,Visoko prizemlje,Namješten,Renoviran,Struja,,0.0,,Parket,True,True,True,False,False,False,True,True,True,True,False,False,False,False
425000.0,84.0,4.0,Suteren,Namješten,Renoviran,Centralno (gradsko),,0.0,1980-1989,Parket,True,True,True,False,False,False,True,True,False,False,True,True,True,True
397000.0,85.0,3.0,1,Namješten,Renoviran,Centralno (gradsko),Zmaja od Bosne,8.0,,Parket,True,True,True,False,True,False,True,True,False,False,False,True,False,True
480000.0,125.0,5.0,2,Namješten,,Centralno (gradsko),,0.0,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False
248000.0,64.0,2.0,4,Namješten,Renoviran,Struja,Maršala Tita,0.0,,Parket,True,True,True,False,False,False,True,True,True,True,False,False,False,True
169000.0,45.0,2.0,3,Namješten,Dobro stanje,Centralno (gradsko),Karima Zaimovića,0.0,,Parket,False,True,True,False,False,False,True,True,False,False,False,False,False,False
292000.0,69.0,3.0,1,Namješten,Novogradnja,Centralno (gradsko),,0.0,2010,,True,True,True,False,False,False,False,True,False,False,False,False,False,False
675000.0,64.0,4.0,1,Namješten,Renoviran,Centralno (Kotlovnica),Titova,3.0,Prije 1950,Parket,True,True,True,True,True,True,True,True,True,False,True,False,True,True
185000.0,52.0,2.0,2,Namješten,Za renoviranje,Centralno (Plin),,4.0,1960-1969,Parket,False,True,True,False,False,False,True,True,True,True,False,True,False,False
115000.0,34.0,0.0,1,Namješten,Novogradnja,Centralno (Kotlovnica),Stupska,0.0,2010,Parket,True,True,True,False,True,True,True,True,False,False,False,False,False,False
313000.0,60.0,3.0,1,Namješten,Renoviran,Centralno (Plin),Armije BiH,0.0,2020,Parket,True,True,True,True,True,True,True,True,True,False,False,False,False,True
172000.0,52.0,2.0,5,Namješten,Dobro stanje,Centralno (Plin),Bosanskih gazija,0.0,2010,Parket,True,True,True,True,True,False,True,True,True,False,False,False,False,False
132000.0,45.0,2.0,3,Namješten,Novogradnja,Centralno (Plin),,0.0,,,True,True,True,True,True,False,False,True,True,False,False,False,False,False
155000.0,35.5,1.0,1,Namješten,Novogradnja,Centralno (gradsko),Senada Poturka Senčija,0.0,,Parket,True,True,True,False,False,False,True,True,False,False,True,False,True,False
235000.0,70.0,3.0,4,Namješten,Dobro stanje,Centralno (Plin),Radnička 64,14.0,2000-2009,Laminat,True,True,True,True,False,False,True,True,True,True,True,False,True,True
225000.0,57.0,2.0,1,Namješten,Novogradnja,Plin,Midhata Karića Mitketa,0.0,2000-2009,Parket,False,False,False,False,False,False,False,False,False,False,False,False,False,False
240000.0,50.0,3.0,4,Namješten,Novogradnja,Centralno (gradsko),,5.0,2020,Parket,True,True,True,False,True,False,True,True,False,False,False,False,False,False
351990.0,90.0,4.0,2,Namješten,Renoviran,Centralno (Plin),Dr. Fetaha Bećirbegovića 35,6.0,,Parket,True,True,True,False,False,False,True,True,True,False,True,True,False,True
295000.0,62.0,3.0,Prizemlje,Namješten,Dobro stanje,Plin,,0.0,,,True,True,False,True,False,False,True,True,True,False,False,False,False,False
227700.0,69.0,3.0,3,Namješten,Dobro stanje,Centralno (Plin),,0.0,,Parket,False,True,False,True,False,False,True,True,True,False,False,True,False,False
153000.0,42.0,2.0,1,Namješten,Novogradnja,Centralno (gradsko),,3.0,2010,Parket,True,True,True,True,True,False,True,True,False,False,True,False,False,False
348000.0,68.0,3.0,4,Namješten,Renoviran,Centralno (gradsko),Bulevar Meše Selimovića,3.0,2015,Parket,True,True,True,True,True,False,True,True,False,False,False,False,False,True
165000.0,59.0,2.0,13,Namješten,Dobro stanje,Centralno (gradsko),"Bosanska, Sarajevo",0.0,,Parket,True,True,True,False,True,False,True,True,False,True,False,False,False,False
295000.0,62.0,3.0,Prizemlje,Namješten,Renoviran,Centralno (Plin),Kovačeva,0.0,,Parket,True,True,True,True,False,False,True,True,True,False,False,False,False,False
359000.0,80.0,3.0,1,Namješten,Dobro stanje,Centralno (gradsko),,0.0,1980-1989,Parket,True,True,True,True,False,False,True,True,True,True,False,True,False,False
215000.0,51.0,2.0,1,Namješten,Dobro stanje,Plin,Hasana Brkića,0.0,,Parket,True,False,False,True,False,False,False,True,True,True,False,True,False,False
125000.0,29.0,1.0,6,Namješten,Dobro stanje,Centralno (gradsko),Aleja lipa,0.0,,Parket,True,True,True,False,True,False,True,True,False,False,False,False,False,False
136000.0,45.0,2.0,8,Namješten,Dobro stanje,Centralno (gradsko),,5.0,,,True,False,False,False,True,False,False,True,False,False,False,False,False,False
285000.0,65.0,3.0,2,Namješten,Dobro stanje,Centralno (Plin),Nahorevska,8.0,,Parket,True,True,True,True,True,False,True,True,True,False,True,False,False,False
265000.0,60.0,3.0,Visoko prizemlje,Namješten,,Centralno (Plin),Alekse Šantića,1.5,,Parket,True,True,True,True,False,False,True,True,True,True,False,True,False,False
225000.0,77.0,3.0,2,Namješten,Parcijalno renoviran,Plin,,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
385000.0,97.0,3.0,2,Namješten,,Centralno (Plin),Hiseta,0.0,,,False,False,False,False,False,False,False,True,False,False,False,False,False,False
300000.0,92.0,3.0,1,Namješten,Renoviran,Plin,,5.0,1950-1959,Parket,True,True,True,False,True,False,True,True,True,True,False,False,False,True
225000.0,48.0,2.0,1,Namješten,Renoviran,Struja,Behdžeta Mutevelića,0.0,,Parket,True,True,True,False,True,False,True,True,False,False,False,False,False,True
170000.0,56.0,2.0,Visoko prizemlje,Namješten,Renoviran,Struja,Andreja Andrejevića,0.0,,Laminat,True,True,True,False,True,False,True,True,False,False,False,False,False,True
252000.0,70.0,3.0,1,Namješten,Dobro stanje,Centralno (gradsko),Trg međunarodnog prijateljstva,0.0,,Parket,True,True,True,False,True,False,True,True,False,False,False,False,False,False
115000.0,29.0,0.0,10,Namješten,Dobro stanje,Centralno (gradsko),Bosanska,0.0,,Parket,True,True,True,False,True,False,True,True,False,False,False,False,False,False
170000.0,40.0,2.0,Prizemlje,Namješten,Renoviran,Centralno (Plin),Antuna Hangija,10.0,,,True,True,True,False,False,False,True,True,True,True,False,True,False,True
130000.0,45.0,1.0,3,Namješten,Novogradnja,Plin,,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
245000.0,43.0,2.0,2,Namješten,,Centralno (gradsko),Ahmeda Muradbegovića,0.0,2020,Parket,True,True,True,False,False,True,True,True,False,False,False,False,False,False
249000.0,53.0,3.0,4,Namješten,Renoviran,Struja,Hamdije Čemerlića,0.0,,,True,True,True,False,True,False,True,True,False,False,False,False,False,False
175000.0,32.0,2.0,1,Namješten,,Struja,Bistrik,0.0,1960-1969,Ostalo,True,False,True,True,False,False,True,False,False,True,False,False,False,False
249000.0,72.0,4.0,9,Namješten,Dobro stanje,Centralno (gradsko),Grbavička,0.0,1970-1979,Parket,True,True,True,False,True,False,False,False,False,False,False,False,False,False
325000.0,103.0,5.0,5,Namješten,,Plin,24 juna,20.0,2010,Parket,True,True,True,True,True,True,True,True,True,True,False,True,False,False
205000.0,72.0,3.0,8,Namješten,,Centralno (gradsko),Trg nezavisnosti,4.0,1980-1989,Parket,True,True,True,False,True,False,True,True,False,True,False,True,False,False
240000.0,49.0,2.0,1,Namješten,Renoviran,Plin,Halida Nazečića,0.0,,Parket,True,True,True,True,False,False,True,True,True,False,True,False,True,False
310000.0,73.1,3.0,7,Namješten,,Centralno (gradsko),Grbavička,0.0,1970-1979,Parket,False,False,False,False,True,False,False,False,False,False,False,False,False,False
235000.0,69.0,2.0,4,Namješten,Renoviran,Centralno (Plin),Antuna Branka Šimića,16.0,2000-2009,Parket,True,True,True,True,False,False,True,True,True,False,True,False,False,True
215000.0,80.0,3.0,2,Namješten,Renoviran,Centralno (gradsko),,0.0,1970-1979,Parket,True,True,True,False,False,False,True,True,False,True,False,True,False,True
145000.0,43.0,1.0,Visoko prizemlje,Namješten,Novogradnja,Plin,,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
80000.0,26.0,0.0,1,Namješten,Dobro stanje,Centralno (gradsko),,0.0,,,False,True,True,False,False,False,True,False,False,False,False,False,False,False
450000.0,75.0,3.0,7,Namješten,,Centralno (Kotlovnica),Džemala Bijedića,2.0,,Parket,True,True,True,True,True,True,True,True,False,False,False,True,False,False
630000.0,203.0,5.0,7,Namješten,Novogradnja,Plin,Nikole Šopa,0.0,,Parket,True,True,True,False,True,False,True,True,False,False,False,True,False,False
210000.0,45.0,2.0,3,Namješten,Novogradnja,Centralno (gradsko),,2.0,,Parket,True,False,False,True,True,False,True,True,False,False,True,False,False,False
150000.0,54.0,2.0,5,Namješten,Dobro stanje,Ostalo,Bosanskih gazija Pejton,0.0,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False
